,ytd (%),last 5 days (%),yesterday (%)
Nasdaq,1.8814266629550707,2.90989344534957,1.5784948981962192
FTSE 100,3.0492382549676993,3.4990579559823742,1.4307764671710748
DAX,4.34898337265009,3.788235159442372,1.1625956450533115
S&P 500,2.2894983604838757,2.856128371960562,1.104371894241884
CAC 40,4.316212335941018,4.106691570725297,1.0236091857046339
Dow Jones,2.773335092694985,3.004526294315059,0.9612751682530263
Shanghai Composite,-0.6356891371614366,2.564779910356907,0.17890140369664181
